Thème,Niveau autonomie,Libellé niveau,Palier,Nom de l'exercice,Objectif de l'exercice,Détail / étapes (guidance verbale),Ce que l'aidant peut faire,Ce que l'aidant ne doit pas faire,Durée indicative,Risques / contre-indications,Statut,Validé par (expert),Date validation,Commentaires expert
S'habiller,A,Autonome,1,"S'habiller seul debout, boutonnage complet",Maintenir l'autonomie complète de l'habillage debout.,"1. ""Installe-toi devant ton armoire.""
2. ""Choisis tes vêtements.""
3. ""Habille-toi à ton rythme, je reste disponible si besoin.""","Proposer un choix de vêtements simple, rester disponible sans intervenir.","Choisir les vêtements à sa place, presser le rythme.",10 minutes,Aucun particulier.,Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
S'habiller,B,"Semi-autonome, aide technique, risque faible à modéré",1,Enfiler son gilet en position assise,Que votre proche enfile seul son gilet en gérant son équilibre assis.,"1. ""Pose le gilet sur tes genoux, l'intérieur vers toi.""
2. ""Passe d'abord le bras du côté le plus difficile.""
3. ""Prends ton temps pour ramener l'autre pan derrière toi.""","Présenter le vêtement dans le bon sens, encourager verbalement.",Habiller votre proche à sa place par souci de rapidité.,3 minutes,Vérifier la stabilité assise avant de commencer si risque de bascule.,Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
S'habiller,C,"Semi-autonome, aide humaine à proximité, risque élevé",1,Enfiler un pantalon assis avec soutien du buste,Participer à l'habillage du bas du corps en position assise sécurisée.,"1. ""Assieds-toi bien au fond du fauteuil.""
2. ""Passe un pied puis l'autre dans le pantalon.""
3. ""Appuie-toi sur l'accoudoir pour remonter le vêtement.""","Stabiliser le buste, tendre le vêtement dans le bon sens.",Réaliser seul le geste de bascule/lever sans supervision.,5 minutes,"Risque de bascule en avant, rester à portée immédiate.",Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
S'habiller,D,Dépendant pour les transferts,1,Participer en tendant le bras pour une manche,Conserver un geste actif malgré la dépendance pour les transferts.,"1. ""Je vais passer la manche, tends ton bras vers moi.""
2. ""Essaie de refermer les doigts sur le tissu.""
3. ""Aide-moi à ajuster l'épaule.""","Réaliser le geste principal, solliciter la participation active de votre proche.",Forcer un mouvement d'épaule douloureux.,5 minutes,Vérifier l'absence de douleur articulaire avant de solliciter le bras.,Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
S'habiller,E,Grabataire / alité,1,Participer par un geste simple pendant l'habillage au lit,"Maintenir un lien actif minime pendant les soins, même alité.","1. ""Je vais glisser ce vêtement, essaie de tourner légèrement la tête vers moi.""
2. ""Serre ma main si tu veux que je continue.""",Solliciter un petit geste ou un contact visuel/verbal.,Mobiliser seul un membre sans les gestes appris avec l'équipe.,Selon le soin,Aucune mobilisation active sans validation de l'équipe soignante.,Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
Manger,A,Autonome,1,"Repas complet en autonomie, service à table",Maintenir l'autonomie complète du repas.,"1. ""Installe-toi à table.""
2. ""Sers-toi comme tu veux.""
3. ""Prends ton temps, je suis à côté si besoin.""","Proposer le plat, discuter pendant le repas.",Couper les aliments à sa place.,Durée du repas,Aucun particulier.,Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
Manger,B,"Semi-autonome, aide technique, risque faible à modéré",1,Couper ses aliments avec un couvert adapté,Réaliser seul le geste de couper avec un appui technique.,"1. ""Prends ta fourchette d'une main, ton couteau adapté de l'autre.""
2. ""Stabilise l'assiette si besoin.""
3. ""Coupe un petit morceau à la fois.""","Stabiliser l'assiette, proposer le couvert adapté.",Couper systématiquement à sa place.,Durée du repas,Aucun particulier si couvert adapté validé par l'ergothérapeute.,Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
Manger,C,"Semi-autonome, aide humaine à proximité, risque élevé",1,Porter les aliments à la bouche avec supervision,Réaliser le geste principal du repas sous supervision rapprochée.,"1. ""Prends ta cuillère.""
2. ""Vas-y doucement, je reste à côté.""
3. ""Repose la cuillère entre chaque bouchée si besoin.""","Rester à proximité, intervenir en cas de fausse route.",Nourrir systématiquement à sa place sans laisser essayer.,Durée du repas,Vérifier les consignes de texture/déglutition avec l'équipe avant le repas.,Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
Manger,D,Dépendant pour les transferts,1,Porter la cuillère seul avec appui du poignet,Conserver le geste du repas malgré une dépendance pour les déplacements.,"1. ""Installe-toi bien en face de l'assiette.""
2. ""Prends la cuillère, je reste juste à côté.""
3. ""Prends ton temps.""","Stabiliser le plat si besoin, ne pas presser le rythme.",Faire manger votre proche systématiquement à sa place.,Durée du repas,Surveiller d'éventuels troubles de déglutition (à valider avec l'équipe).,Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
Manger,E,Grabataire / alité,1,Participer activement pendant l'aide au repas,"Maintenir une participation active (mastication, rythme) malgré une aide complète pour porter les aliments.","1. ""Je vais te présenter la cuillère, ouvre la bouche quand tu es prêt.""
2. ""Prends ton temps pour mâcher.""
3. ""Dis-moi si tu veux une pause.""","Respecter le rythme, vérifier la position de la tête.",Presser le rythme ou redonner une bouchée avant que la précédente soit avalée.,Durée du repas,"Respecter strictement les consignes de texture et de position (risque de fausse route), validées par l'équipe.",Validé,Référentiel APA (publication catalogue),2026-08-02,Publication catalogue — disponible Mode visite
